,correct,actual
154,na+ 137 meq/l,decreased serum potassium concentration | increased serum sodium concentration | decreased serum calcium concentration | increased serum magnesium concentration | decreased serum chloride concentration | increased serum bicarbonate concentration | increased serum creatinine concentration | increased serum creatinine clearance | increased serum bicarbonate concentration | increased serum bicarbonate concentration | increased serum bicarbonate concentration | increased serum bicarbonate concentration | increased serum bicarbonate concentration | increased serum bicarbonate concentration | increased serum bicarbonate concentration | increased serum bicarbonate concentration | increased serum bicarbonate concentration | increased serum bicarbonate concentration | increased serum bicarbonate concentration | increased serum bicarbonate concentration | increased serum bicarbonate concentration | increased serum bicarbonate concentration | increased serum bicarbonate concentration | increased serum bicarbonate concentration | increased serum bicarbonate concentration | increased serum bicarbonate concentration | increased serum bicarbon
155,order a d-dimer,"chest x-ray, spirometry, and arterial blood gas analysis
"
156,deletion of 4 alpha-globin genes,"folate deficiency during pregnancy
"
157,iga mesangial deposition,"diffuse mesangial fibrosis and endocytic vacuoles in the glomeruli.  what is the most likely diagnosis?
"
158,low bone mineral density,"colon cancer
"
159,increased 14-3-3 protein concentration,"elevated levels of b12-dependent enzymes (glutathione synthetase, glutathione reductase, and glutathione peroxidase)
      ""normal"" levels of b12-dependent enzymes (glutathione synthetase, glutathione reductase, and glutathione peroxidase)
      ""normal"" levels of b12-dependent enzymes (glutathione synthetase, glutathione reductase, and glutathione peroxidase)
      ""normal"" levels of b12-dependent enzymes (glutathione synthetase, glutathione reductase, and glutathione peroxidase)
      ""normal"" levels of b12-dependent enzymes (glutathione synthetase, glutathione reductase, and glutathione peroxidase)
      ""normal"" levels of b12-dependent enzymes (glutathione synthetase, glutathione reductase, and glutathione peroxidase"
160,"type iii, mediated by igg antibodies","glomerulonephritis with immunoglobulin m deposition in glomeruli and tubules.  what is the most likely diagnosis?
"
161,gitelman’s syndrome,"rhabdomyolysis with acute renal failure
"
162,intestine,"liver glycogen stores (liver) and peripheral glucose uptake (muscle)
"
163,partial thromboplastin time (ptt),"erythrocyte sedimentation rate (esr) > 20 mm/h (normal < 12 mm/h) |  | what is the most likely diagnosis?
"
164,epstein-barr virus (ebv),"increased risk of developing lymphoma and leukemia.  what is the most likely cause of this patient's increased risk of developing lymphoma and leukemia?
"
165,posterior cerebral artery stroke,"posterior reversible leukoencephalopathy with neuromyelopathy (paleoclastic leukoencephalopathy)
"
166,↓ ↓ ↑ ↓,↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ % ↑ 
167,7.5 l/min,"10 l/min
      "
168,esophageal exposure to gastric acid,esophageal varices with a large amount of blood in the stomach and small intestine. |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  
169,gram-variable rod,"no cervical ectropion or cervical os in the cervix
"
170,pancreatic carcinoma,"colon cancer, polyposis, and familial adenomatous polyposis (fap)
"
171,they need thymus for their maturation.,"small, round, acid-fast bacteria with a thick, waxy cell wall and a small, round, acid-fast bacteria with a thick, waxy cell wall and a small, round, acid-fast bacteria with a thick, waxy cell wall and a small, round, acid-fast bacteria with a thick, waxy cell wall and a small, round, acid-fast bacteria with a thick, waxy cell wall and a small, round, acid-fast bacteria with a thick, waxy cell wall and a small, round, acid-fast bacteria with a thick, waxy cell wall and a small, round, acid-fast bacteria with a thick, waxy cell wall and a small, round, acid-fast bacteria with a thick, waxy cell wall and a small, round, acid-fast bacteria with a thick, waxy cell wall and a small, round, acid-fast bacteria with a thick, waxy cell wall and a small,"
172,acetaminophen,"dextromethorphan with codeine (dtc) | | what is the most likely cause of this patient's symptoms?
      "
173,binding of met-trna to 60s complex,"wing bud formation during embryogenesis
"
174,glucocorticoids,"thiamine 100 mg/day for 3 months""
"
175,heroin,"cocaine
"
176,lipooligosaccharide,"rns-1 gene mutation
"
177,salicylate intoxication,"hypokalemia due to hyperventilation and hypercapnia
"
178,surgical hypertension associated with pheochromocytoma is rare,"the study is a case-control study and the control group is a group of patients who did not undergo surgery.
"
179,"increased igm; decreased igg, iga, and ige",t1b1+ t1b2+ t1b3+ t1b4+ t1b5+ t1b6+ t1b7+ t1b8+ t1b9+ t1b10+ t1b11+ t1b12+ t1b13+ t1b14+ t1b15+ t1b16+ t1b17+ t1b18+ t1b19+ t1b20+ t1b21+ t1b22+ t1b23+ t1b24+ t1b25+ t1b26+ t1b27+ t1b28+ t1b29+ t1b30+ t1b31+ t1b32+ t1b33+ t1b34+ t1b35+ t1b36+ t1b37+ t1b38+ t1b39+ t1b40+
180,normal tsh and normal t4,"tsh: 0.  what is the most likely diagnosis?
"
181,immunosuppression,"human papillomavirus (hpv) infection of the skin or mucous membranes of the mouth, nose, or throat.  what is the most likely cause of this patient's condition?
"
182,intravenous ceftriaxone,"intravenous immunoglobulin therapy with rituximab and corticosteroids
"
183,perform bronchoscopy,"bronchodilators, inhaled corticosteroids, and inhaled bronchodilators, in that order, with a 2-week trial of each medication. |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |"
184,myofibroblasts,"chondrocytes in the tendon sheath of the flexor digitorum tendon.  what is the most likely cause of this patient's contracture?
"
185,resistant to breakdown by adenosine deaminase,"decreased platelet destruction rate
"
186,transvaginal ultrasound at 18 weeks gestation,"transabdominal ultrasound with a 5-mm probe at 12 weeks gestation
"
187,weight loss,"rest, ice, and pain relief medication
"" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |  "" |"
188,dilation of the colon with loss of haustration,"a large, fluid-filled, air-filled cyst in the left upper quadrant of the abdomen
"
189,trimethoprim,"methotrexate and sulfasalazine
"
190,eosinophilic intracytoplasmic inclusions,"beta-amyloid plaques in the hippocampus and amygdala
"
191,give the high-dose opioids,"administer a higher dose of the same chemotherapy drug with a different formulation.
"
192,sodium bicarbonate,"1 mg of lorazepam and 1 mg of diazepam.  what is the most appropriate next step in management?
"
193,halt treatments and begin palliative care.,"provide counseling regarding the risks of palliative care and the benefits of palliative care.
"
194,fatty casts,"proteinuria, 1+ protein, 1+ red blood cells, 1+ white blood cells
"
195,cerebral shunt placement,"memantine therapy
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"" ""
"
196,pancreatic abscess,"acute pancreatitis with pancreatic pseudocysts""
"
197,"vasospasm of cerebral vessels
""","serotonin reuptake inhibition by norepinephrine in the hippocampus and amygdala
      "
198,hematuria,"renal papillary necrosis and renal failure
"
199,focal segmental glomerulosclerosis,"glomerulonephritis with immunoglobulin deposition in glomeruli and tubules of the kidney
"
200,decrease in forced expiratory volume in 1 second (fev1) after methacholine,"elevated serum tryptase levels, elevated serum chymase levels, and elevated serum c-reactive protein levels
"
201,phenytoin,"clobetasol propionate (clobetasol)
"
202,presensitized t cells,a mutation in the gene that codes for the enzyme that catalyzes the conversion of the amino acid lysine to the amino acid ornithine in the urea cycle. |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |
203,magnesium sulfate,magnesium sulfate 1 g orally every 6 hours for 2 weeks (then 1 g orally once daily) | magnesium sulfate 1 g orally every 6 hours for 2 weeks (then 1 g orally once daily) | magnesium sulfate 1 g orally every 6 hours for 2 weeks (then 1 g orally once daily) | magnesium sulfate 1 g orally every 6 hours for 2 weeks (then 1 g orally once daily) | magnesium sulfate 1 g orally every 6 hours for 2 weeks (then 1 g orally once daily) | magnesium sulfate 1 g orally every 6 hours for 2 weeks (then 1 g orally once daily) | magnesium sulfate 1 g orally every 6 hours for 2 weeks (then 1 g orally once daily) | magnesium sulfate 1 g orally every 6 hours for 2 weeks (then 
204,pregabalin,"apply a topical corticosteroid cream to the affected area and take oral prednisolone 1 mg/kg for 3 days
"
205,negative nitroblue-tetrazolium test,"a positive culture of nasal secretions for s  aureus, aspergillus, and e coli
"
206,drug b acts by stimulating a receptor which is composed of 5 subunits,"drug a is a partial agonist of the nicotinic receptor, while drug b is a full agonist of the nicotinic receptor. |  | drug a is a partial agonist of the nicotinic receptor, while drug b is a full agonist of the nicotinic receptor. |  | drug a is a partial agonist of the nicotinic receptor, while drug b is a full agonist of the nicotinic receptor. |  | drug a is a partial agonist of the nicotinic receptor, while drug b is a full agonist of the nicotinic receptor. |  | drug a is a partial agonist of the nicotinic receptor, while drug b is a full agonist of the nicotinic receptor. |  | drug a is a partial agonist of the nicotinic receptor, while drug b is a full agonist of the nicotinic receptor. |  | drug a"
207,pygmalion effect,"selection bias (unmeasured confounding) - the selection of patients who underwent the surgeries on mondays and thursdays was likely due to the fact that they were more healthy and had less pain compared with those who underwent the surgeries on tuesdays and fridays.  what is the most likely reason for the selection bias?
"
208,pelvic ultrasound,"genetic testing for von willebrand disease |  | what is the most likely diagnosis?
"
209,rheumatoid arthritis,"osteochondromal dislocation of the patella with osteochondritis dissecans of the lateral femoral epicondyle and patella. |  | what is the most likely cause of the patient's symptoms?
      "
210,eukaryotes have multiple origins of replication,"the replication fork is located in the middle of the dna strand, and replication occurs in a continuous manner.  what is the most likely explanation for this observation?
"
211,nighttime bite guard,"referral to a dentist for a night guard to be fabricated for her to wear at night
"
212,a region of kidney where blood flow is obstructed,"acute coronary syndrome, acute myocardial infarction, and acute pulmonary embolism. |  | acute coronary syndrome: atherosclerosis of the coronary arteries, acute myocardial infarction, and acute pulmonary embolism. |  | acute myocardial infarction: atherosclerosis of the coronary arteries, acute myocardial infarction, and acute pulmonary embolism. |  | acute pulmonary embolism: atherosclerosis of the pulmonary arteries, acute myocardial infarction, and acute pulmonary embolism. |  | acute coronary syndrome: atherosclerosis of the coronary arteries, acute myocardial infarction, and acute pulmonary embolism. |  | acute pulmonary embolism: atherosclerosis of the pulmonary arteries, acute myocardial infarction, and acute pulmonary embolism. |  | acute myocardial infarction: atherosclerosis of the coronary arteries, acute myocardial infarction, and acute pulmonary embolism. |  | acute pulmonary embolism: atherosclerosis of the pulmonary arteries, acute myocardial infarction, and acute pulmonary emb"
213,saturation of pah transport carriers,"increased binding of pah to albumin in the glomeruli of the tubules
      "
214,projection,denial of the affair.  the husband is likely to deny the affair because it would be too painful to accept that his wife had engaged in extramarital affairs.  denial of the affair is a defense mechanism that is used to protect the ego.  denial of the affair is a defense mechanism that is used to protect the ego.  denial of the affair is a defense mechanism that is used to protect the ego.  denial of the affair is a defense mechanism that is used to protect the ego.  denial of the affair is a defense mechanism that is used to protect the ego.  denial of the affair is a defense mechanism that is used to protect the ego.  denial of the affair is a defense mechanism that is used to protect the ego.  denial of the affair is a defense mechanism that is used to protect the ego.  denial of the affair is a defense mechanism that is used to protect the ego.  denial of the affair is a defense mechanism that is used to
215,leiomyomata uteri,"pregnancy-induced thrombocytopenia (pitt) | | what is the most likely cause of her symptoms?
      "
216,inhibition of rna polymerase,"inhibition of the enzyme mycobacterium tuberculosis isoenzyme 1 (mtb isoenzyme 1)
"
217,posterior communicating artery (pcom),"superior oblique tendon and trochlea tendon?
"
218,eosinophilic granulomatosis with polyangiitis (churg-strauss syndrome),"allergic rhinitis with asthma exacerbation
"
219,a nasal transepithelial potential difference,"genetic testing for cystic fibrosis gene mutations, immunoglobulin g (igg) levels, and immunoglobulin a (ig a) levels (ig a levels are elevated in cf patients)
"
220,goodpasture syndrome,"sickle cell anemia, sickle cell disease, sickle cell trait, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier, sickle cell trait carrier"
221,failed canalization of external vaginal membrane,"mutation in the fsh receptor gene (fshrb) on chromosome 8q24.  what is the most likely diagnosis?
"
222,caspase,"collagenase 1 (c1) and collagenase 2 (c2)
      "
223,iron deficiency anemia,"pulmonary arterial hypertension (pa)
"
224,n-acetylcysteine,activated partial thromboplastin time (aPTT) > 30 seconds | prothrombin time (pt) > 12 seconds | thrombin time (tt) > 12 seconds | fibrinolysis time (flt) > 1 minute | prothrombin-time (pt) > 12 seconds | thrombin-time (tt) > 12 seconds | fibrinolysis-time (flt) > 1 minute | prothrombin-time (pt) > 12 seconds | thrombin-time (tt) > 12 seconds | fibrinolysis-time (flt) > 1 minute | prothrombin-time (pt) > 12 seconds | thrombin-time (tt) > 12 seconds | fibrinolysis-time
225,azathioprine,"allopurinol, febuxostat, and probenecid
"
226,delayed ejaculation,"increased risk of suicidal ideation and behavior
""what is the most likely cause of this patient's symptoms?""
"
227,home hospice care,"cognitive behavioral therapy for dementia (cbt-d) and occupational therapy (ot)
"
228,epinephrine,"iv fluids and oxygen therapy
"
229,reassure the patient,oral contraceptive pill with ethinyl estradiol and levonorgestrel for 3 months followed by a hysterosalpingogram to rule out pregnancy. |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |  | |
230,transmural granulomas in the bowel,acute pancreatitis with pancreatic necrosis and acute renal failure with acute renal failure and acute renal failure with acute renal failure and acute renal failure with acute renal failure and acute renal failure with acute renal failure and acute renal failure with acute renal failure and acute renal failure with acute renal failure and acute renal failure with acute renal failure and acute renal failure with acute renal failure and acute renal failure with acute renal failure and acute renal failure with acute renal failure and acute renal failure with acute renal failure and acute renal failure with acute renal failure and acute renal failure with acute renal failure and acute renal failure with acute renal failure and acute renal failure with acute renal failure and acute renal failure with acute renal failure and acute renal failure with acute renal failure and acute renal failure with acute renal failure and acute renal failure with acute renal failure and acute renal failure with acute renal failure and acute renal failure with acute renal failure and acute renal failure with acute renal failure and acute renal failure with acute renal failure and acute renal failure with acute renal failure and acute
231,oxidation,"platelet aggregation and activation of the coagulation cascade
"
232,reverse transcription of viral rna to dna,"rna polymerase ii enzyme
"
233,imperforate anus,"omphalocele with gastroschisis and bladder exstrophy
"
234,no treatment is necessary,"calcium and vitamin d supplementation with vitamin d3 5000-10000 iu/day.  what is the most likely cause of this patient's symptoms?
"
235,gm2 ganglioside,"aspartate, glutamate, and glycine
"
236,broad-based gait,"decreased hippocampal atrophy and increased amygdala atrophy
"
237,colon,"streptococcus pyogenes
"
238,fever,"abdominal rebound (in children ≥ 5 years of age) 0 | ""what is the most accurate clinical finding for acute appendicitis in this patient?""
      "
239,interleukin-5,"il-2 and il-3
"
240,serum β-hcg concentration,"ciprofloxacin 500 mg q6h for 7 days, followed by doxycycline 100 mg q6h for 7 days, followed by ciprofloxacin 500 mg q6h for 7 days, followed by doxycycline 100 mg q6h for 7 days, followed by ciprofloxacin 500 mg q6h for 7 days, followed by doxycycline 100 mg q6h for 7 days, followed by ciprofloxacin 500 mg q6h for 7 days, followed by doxycycline 100 mg q6h for 7 days, followed by ciprofloxacin 500 mg q6h for 7 days, followed by doxycycline 100 mg q6h for 7 days, followed by ciprofloxacin 500 mg q6h for 7 days, followed by doxycycline 100 mg q6h for 7 days, followed by ciprofloxacin 500 mg"
241,diphenhydramine,"cervical collar and neck brace
"
242,bradykinin and prostaglandin,"substance p and bradykinin
"
243,postpartum psychosis,"psychosis with delusions and hallucinations.
"
244,5-ht3 antagonist,"adriamycin, bleomycin, vinblastine, and dacarbazine
"
245,streptococcus viridans,"streptococcus pneumoniae
"
246,check the foley catheter,"urine culture
"
247,he should start vitamin d supplementation.,"continue breastfeeding and do not introduce any solids until he is 6 months old.  the child’s parents should continue to breastfeed him until he is 6 months old and then introduce solids.
"
248,muddy brown casts,"granular hyaline casts
"
249,budesonide and formoterol inhaler,"ipratropium bromide 5 mg, 2 inhalations, 2-3 times daily, and ipratropium bromide 5 mg, 2 inhalations, 2-3 times daily, ipratropium bromide 5 mg, 2 inhalations, 2-3 times daily, ipratropium bromide 5 mg, 2 inhalations, 2-3 times daily, ipratropium bromide 5 mg, 2 inhalations, 2-3 times daily, ipratropium bromide 5 mg, 2 inhalations, 2-3 times daily, ipratropium bromide 5 mg, 2 inhalations, 2-3 times daily, ipratropium bromide 5 mg, 2 inhalations, 2-3 times daily, ipratropium bromide 5 mg, 2 inhalations, 2-3 times daily, ip"
250,antibodies to hemidesmosomes,"herpes zoster virus (hzv) infection of the trigeminal nerve (tn) and the brachial plexus (bp)
"
